x	y	clickSelects	group	ymin	ymax	xmin	xmax
0.0953172423760662	0.0637277295568753	1953	37	0.0454545454545455	0.0637277295568753	0.0888134123428238	0.101821072409309
0.109770198005492	0.0500228414801279	1954	37	0.0454545454545455	0.0500228414801279	0.10326636797225	0.116274028038735
0.124223153634919	0.0500228414801279	1955	37	0.0454545454545455	0.0500228414801279	0.117719323601676	0.130726983668161
0.138676109264345	0.0545911375057104	1956	37	0.0454545454545455	0.0545911375057104	0.132172279231102	0.145179939297587
0.153129064893771	0.0545911375057104	1957	37	0.0454545454545455	0.0545911375057104	0.146625234860529	0.159632894927013
0.167582020523197	0.0637277295568753	1958	37	0.0454545454545455	0.0637277295568753	0.161078190489955	0.17408585055644
0.182034976152623	0.0545911375057104	1959	37	0.0454545454545455	0.0545911375057104	0.175531146119381	0.188538806185866
0.19648793178205	0.0637277295568753	1960	37	0.0454545454545455	0.0637277295568753	0.189984101748807	0.202991761815292
0.210940887411476	0.0545911375057104	1961	37	0.0454545454545455	0.0545911375057104	0.204437057378233	0.217444717444718
0.225393843040902	0.0820009136592051	1962	37	0.0454545454545455	0.0820009136592051	0.21889001300766	0.231897673074145
0.239846798670328	0.0500228414801279	1963	37	0.0454545454545455	0.0500228414801279	0.233342968637086	0.246350628703571
0.254299754299754	0.0545911375057104	1964	37	0.0454545454545455	0.0545911375057104	0.247795924266512	0.260803584332997
0.268752709929181	0.0545911375057104	1965	37	0.0454545454545455	0.0545911375057104	0.262248879895938	0.275256539962423
0.283205665558607	0.0545911375057104	1966	37	0.0454545454545455	0.0545911375057104	0.276701835525364	0.289709495591849
0.297658621188033	0.0682960255824578	1967	37	0.0454545454545455	0.0682960255824578	0.291154791154791	0.304162451221276
0.312111576817459	0.0682960255824578	1968	37	0.0454545454545455	0.0682960255824578	0.305607746784217	0.318615406850702
0.326564532446886	0.0500228414801279	1969	37	0.0454545454545455	0.0500228414801279	0.320060702413643	0.333068362480128
0.355470443705738	0.0545911375057104	1971	37	0.0454545454545455	0.0545911375057104	0.348966613672495	0.36197427373898
0.369923399335164	0.0545911375057104	1972	37	0.0454545454545455	0.0545911375057104	0.363419569301922	0.376427229368407
0.38437635496459	0.0682960255824578	1973	37	0.0454545454545455	0.0682960255824578	0.377872524931348	0.390880184997833
0.398829310594017	0.0865692096847876	1974	37	0.0454545454545455	0.0865692096847876	0.392325480560774	0.405333140627259
0.413282266223443	0.0820009136592051	1975	37	0.0454545454545455	0.0820009136592051	0.4067784361902	0.419786096256685
0.427735221852869	0.132252169940612	1976	37	0.0454545454545455	0.132252169940612	0.421231391819627	0.434239051886111
0.442188177482295	0.100274097761535	1977	37	0.0454545454545455	0.100274097761535	0.435684347449053	0.448692007515538
0.456641133111721	0.0545911375057104	1978	37	0.0454545454545455	0.0545911375057104	0.450137303078479	0.463144963144964
0.471094088741148	0.123115577889447	1979	37	0.0454545454545455	0.123115577889447	0.464590258707905	0.47759791877439
0.485547044370574	0.09113750571037	1980	37	0.0454545454545455	0.09113750571037	0.479043214337331	0.492050874403816
0.5	0.0637277295568753	1981	37	0.0454545454545455	0.0637277295568753	0.493496169966758	0.506503830033242
0.514452955629426	0.0865692096847876	1982	37	0.0454545454545455	0.0865692096847876	0.507949125596184	0.520956785662669
0.543358866888279	0.0545911375057104	1984	37	0.0454545454545455	0.0545911375057104	0.536855036855036	0.549862696921521
0.557811822517705	0.0500228414801279	1985	37	0.0454545454545455	0.0500228414801279	0.551307992484462	0.564315652550947
0.572264778147131	0.0500228414801279	1986	37	0.0454545454545455	0.0500228414801279	0.565760948113889	0.578768608180373
0.586717733776557	0.0774326176336227	1987	37	0.0454545454545455	0.0774326176336227	0.580213903743315	0.5932215638098
0.61562364503541	0.0545911375057104	1989	37	0.0454545454545455	0.0545911375057104	0.609119815002167	0.622127475068652
0.630076600664836	0.100274097761535	1990	37	0.0454545454545455	0.100274097761535	0.623572770631593	0.636580430698078
0.644529556294262	0.104842393787117	1991	37	0.0454545454545455	0.104842393787117	0.63802572626102	0.651033386327505
0.658982511923688	0.09113750571037	1992	37	0.0454545454545455	0.09113750571037	0.652478681890446	0.665486341956931
0.673435467553114	0.0682960255824578	1993	37	0.0454545454545455	0.0682960255824578	0.666931637519872	0.679939297586357
0.687888423182541	0.0682960255824578	1994	37	0.0454545454545455	0.0682960255824578	0.681384593149298	0.694392253215783
0.702341378811967	0.0774326176336227	1995	37	0.0454545454545455	0.0774326176336227	0.695837548778724	0.708845208845209
0.716794334441393	0.0728643216080402	1996	37	0.0454545454545455	0.0728643216080402	0.710290504408151	0.723298164474636
0.731247290070819	0.164230242119689	1997	37	0.0454545454545455	0.164230242119689	0.724743460037577	0.737751120104062
0.745700245700246	0.118547281863865	1998	37	0.0454545454545455	0.118547281863865	0.739196415667003	0.752204075733488
0.760153201329672	0.136820465966195	1999	37	0.0454545454545455	0.136820465966195	0.753649371296429	0.766657031362914
0.774606156959098	0.0682960255824578	2000	37	0.0454545454545455	0.0682960255824578	0.768102326925855	0.78110998699234
0.789059112588524	0.118547281863865	2001	37	0.0454545454545455	0.118547281863865	0.782555282555282	0.795562942621767
0.80351206821795	0.0820009136592051	2002	37	0.0454545454545455	0.0820009136592051	0.797008238184708	0.810015898251193
0.817965023847377	0.0637277295568753	2003	37	0.0454545454545455	0.0637277295568753	0.811461193814134	0.824468853880619
0.832417979476803	0.0728643216080402	2004	37	0.0454545454545455	0.0728643216080402	0.82591414944356	0.838921809510045
