size	colour	x	y	clickSelects	key	fill
2	#00C094	0.554875521325339	0.689656295459973	United Arab Emirates	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.15437521469523	0.789206852378574	Afghanistan	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.660811406693221	0.518021147708274	Albania	Albania	#C49A00
2.80498447189992	#C49A00	0.699995910838494	0.344757582994984	Armenia	Armenia	#C49A00
3.13841995766062	#FB61D7	0.185330851359245	0.756964196539071	Angola	Angola	#FB61D7
4.41495341569977	#53B400	0.654211743243373	0.284180472023797	Argentina	Argentina	#53B400
3.39427400463467	#C49A00	0.716997853912274	0.238801919360792	Austria	Austria	#C49A00
3.60996894379985	#F8766D	0.731822964541003	0.262468245869249	Australia	Australia	#F8766D
2	#53B400	0.68765621993578	0.324239529278937	Aruba	Aruba	#53B400
3.13841995766062	#C49A00	0.619628685893606	0.502171222615455	Azerbaijan	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.630513988219642	0.30491564800139	Bosnia and Herzegovina	Bosnia and Herzegovina	#C49A00
2	#53B400	0.679276479116413	0.348122978048939	Barbados	Barbados	#53B400
5.8605699061149	#A58AFF	0.385881801266523	0.703877803591202	Bangladesh	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.734061362428807	0.216004081898517	Belgium	Belgium	#C49A00
3.13841995766062	#FB61D7	0.240706686915363	0.662190329374471	Burkina Faso	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.724727737280342	0.172579629589422	Bulgaria	Bulgaria	#C49A00
2	#00C094	0.577360969173841	0.712996938576112	Bahrain	Bahrain	#00C094
2.80498447189992	#FB61D7	0.301998885513473	0.691610395813883	Burundi	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.219334357473206	0.673046442451744	Benin	Benin	#FB61D7
2	#F8766D	0.653100144971417	0.583374948433463	Brunei Darussalam	Brunei Darussalam	#F8766D
2.80498447189992	#53B400	0.325971404828015	0.668161191566971	Bolivia	Bolivia	#53B400
6.62428372831945	#53B400	0.522566585021515	0.549395314501596	Brazil	Brazil	#53B400
2	#53B400	0.649154256131168	0.360390385826259	Bahamas, The	Bahamas, The	#53B400
2	#A58AFF	0.239546444342958	0.677388887682654	Bhutan	Bhutan	#A58AFF
2	#FB61D7	0.453804066002259	0.680211477082745	Botswana	Botswana	#FB61D7
3.39427400463467	#C49A00	0.71631151323564	0.198634300974879	Belarus	Belarus	#C49A00
2	#53B400	0.633231228439982	0.64351781488156	Belize	Belize	#53B400
4.27683991532123	#00B6EB	0.752679208358095	0.227728684021973	Canada	Canada	#00B6EB
4.12978872191586	#FB61D7	0.294417975315526	0.619308682719239	Congo, Dem. Rep.	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.248835985594143	0.599224873526283	Central African Republic	Central African Republic	#FB61D7
2	#FB61D7	0.442537209944582	0.623542566819376	Congo, Rep.	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.759360198997754	0.211010269882971	Switzerland	Switzerland	#C49A00
3.13841995766062	#FB61D7	0.28296984323196	0.800714332240484	Cote d'Ivoire	Cote d'Ivoire	#FB61D7
3.39427400463467	#53B400	0.568747127658568	0.451907419067677	Chile	Chile	#53B400
3.13841995766062	#FB61D7	0.322724017739513	0.61377206504983	Cameroon	Cameroon	#FB61D7
15.4939986660737	#F8766D	0.515874573407537	0.594448183772282	China	China	#F8766D
4.12978872191586	#53B400	0.559656724012344	0.631793212758104	Colombia	Colombia	#53B400
2.80498447189992	#53B400	0.646307424454167	0.604327246672601	Costa Rica	Costa Rica	#53B400
3.39427400463467	#53B400	0.68775426860387	0.434537638144039	Cuba	Cuba	#53B400
2	#FB61D7	0.416603337234632	0.711259960483748	Cape Verde	Cape Verde	#FB61D7
2	#C49A00	0.74526931327891	0.266919252230931	Cyprus	Cyprus	#C49A00
3.60996894379985	#C49A00	0.722394330993226	0.159552293896693	Czech Republic	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.727037581484429	0.222517749744881	Germany	Germany	#C49A00
2	#00C094	0.279712195236332	0.781607573224483	Djibouti	Djibouti	#00C094
3.13841995766062	#C49A00	0.763810392421552	0.208404802744425	Denmark	Denmark	#C49A00
3.13841995766062	#53B400	0.509475947730635	0.684879605705973	Dominican Republic	Dominican Republic	#53B400
3.8	#00C094	0.42336869533288	0.755770024100571	Algeria	Algeria	#00C094
3.13841995766062	#53B400	0.509514711157555	0.662407451636016	Ecuador	Ecuador	#53B400
2	#C49A00	0.716148098788821	0.16498035043533	Estonia	Estonia	#C49A00
4.90241278938748	#00C094	0.391375566948372	0.630490479188831	Egypt, Arab Rep.	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.282782866702113	0.680971404998154	Eritrea	Eritrea	#FB61D7
4.78854800926934	#C49A00	0.737800893025749	0.272347308769568	Spain	Spain	#C49A00
4.54558441227157	#FB61D7	0.282117807906926	0.699318236098747	Ethiopia	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.713083507860597	0.196463078359424	Finland	Finland	#C49A00
2	#F8766D	0.543827944653275	0.505102373146319	Fiji	Fiji	#F8766D
2	#F8766D	0.568503906156329	0.703552120198884	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	#F8766D
5.50884596413123	#C49A00	0.736368166364116	0.251829255053521	France	France	#C49A00
2	#FB61D7	0.313808809581621	0.439857133551903	Gabon	Gabon	#FB61D7
5.6	#C49A00	0.751379493455498	0.244121414768656	United Kingdom	United Kingdom	#C49A00
2	#53B400	0.621919908451427	0.500434244523091	Grenada	Grenada	#53B400
2.80498447189992	#C49A00	0.65865965646559	0.244229975899429	Georgia	Georgia	#C49A00
3.39427400463467	#FB61D7	0.373186018883185	0.707786004299021	Ghana	Ghana	#FB61D7
2	#FB61D7	0.186367202978946	0.59792213995701	Gambia, The	Gambia, The	#FB61D7
2.80498447189992	#FB61D7	0.143261512177245	0.688245000759928	Guinea	Guinea	#FB61D7
2	#FB61D7	0.232653774989631	0.565570922986734	Equatorial Guinea	Equatorial Guinea	#FB61D7
3.39427400463467	#C49A00	0.731761019064651	0.2300084677682	Greece	Greece	#C49A00
3.13841995766062	#53B400	0.404473804911197	0.639718175304514	Guatemala	Guatemala	#53B400
2	#F8766D	0.633696389563016	0.489469570315044	Guam	Guam	#F8766D
2	#FB61D7	0.194749604033493	0.505970862192501	Guinea-Bissau	Guinea-Bissau	#FB61D7
2	#53B400	0.484328364533395	0.612143648088238	Guyana	Guyana	#53B400
2.80498447189992	#F8766D	0.72367922458553	0.383079662157761	Hong Kong SAR, China	Hong Kong SAR, China	#F8766D
2.80498447189992	#53B400	0.417603965696191	0.758484052369889	Honduras	Honduras	#53B400
3.13841995766062	#C49A00	0.690387901432814	0.181698764574332	Croatia	Croatia	#C49A00
3.13841995766062	#53B400	0.341957898129942	0.607475519465011	Haiti	Haiti	#53B400
3.60996894379985	#C49A00	0.709039950385854	0.171494018281694	Hungary	Hungary	#C49A00
7.02712641575682	#F8766D	0.405146464378331	0.559274377401915	Indonesia	Indonesia	#F8766D
2.80498447189992	#C49A00	0.729863511313582	0.370378009857351	Ireland	Ireland	#C49A00
2.80498447189992	#00C094	0.741802646804794	0.364732831057168	Israel	Israel	#00C094
13.1832016882465	#A58AFF	0.362222429636115	0.572193151963871	India	India	#A58AFF
3.39427400463467	#00C094	0.493220010608258	0.745239594415615	Iraq	Iraq	#00C094
4.54558441227157	#00C094	0.398489795888895	0.682816944221291	Iran, Islamic Rep.	Iran, Islamic Rep.	#00C094
2	#C49A00	0.777225578404484	0.309583776624617	Iceland	Iceland	#C49A00
5.6	#C49A00	0.73318348481916	0.228488611937382	Italy	Italy	#C49A00
2	#C49A00	0.740433005720304	0.214267103806153	Channel Islands	Channel Islands	#C49A00
2.80498447189992	#53B400	0.676035172565466	0.581855092602644	Jamaica	Jamaica	#53B400
2	#00C094	0.543518977338711	0.825357708925896	Jordan	Jordan	#00C094
6.89652938314476	#F8766D	0.738169525615083	0.172579629589422	Japan	Japan	#F8766D
3.60996894379985	#FB61D7	0.414959691926524	0.835345332956988	Kenya	Kenya	#FB61D7
2.80498447189992	#C49A00	0.548851988808922	0.508250645938728	Kyrgyz Republic	Kyrgyz Republic	#C49A00
3.13841995766062	#F8766D	0.333521152270988	0.629513429011877	Cambodia	Cambodia	#F8766D
2	#FB61D7	0.348718695825023	0.717990750591658	Comoros	Comoros	#FB61D7
3.8	#F8766D	0.551169053651357	0.385793690427079	Korea, Dem. Rep.	Korea, Dem. Rep.	#F8766D
4.66983145535444	#F8766D	0.539560547389753	0.479264824022407	Korea, Rep.	Korea, Rep.	#F8766D
2.80498447189992	#00C094	0.64745550595146	0.758049807846798	Kuwait	Kuwait	#00C094
3.8	#C49A00	0.580625837807818	0.364732831057168	Kazakhstan	Kazakhstan	#C49A00
2.80498447189992	#F8766D	0.33526208617999	0.601721779534056	Lao PDR	Lao PDR	#F8766D
2.80498447189992	#00C094	0.621962852247917	0.537887834639685	Lebanon	Lebanon	#00C094
2	#53B400	0.591793885130208	0.65980198449747	St. Lucia	St. Lucia	#53B400
3.60996894379985	#A58AFF	0.576698950647432	0.467214538506633	Sri Lanka	Sri Lanka	#A58AFF
