size	colour	x	y	clickSelects	fill
2	#00C094	0.693238812775474	0.537404616792553	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.789206852378574	0.147949226599327	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.531808411316412	0.657512335035491	Albania	#C49A00
2.80498447189992	#C49A00	0.364515708795623	0.693494676090336	Armenia	#C49A00
3.13841995766062	#FB61D7	0.759026858023753	0.179030654384032	Angola	#FB61D7
4.27683991532123	#53B400	0.284506155416115	0.651916720349579	Argentina	#53B400
3.39427400463467	#C49A00	0.24227587554552	0.718993030297837	Austria	#C49A00
3.60996894379985	#F8766D	0.266050763184749	0.731047696002614	Australia	#F8766D
2	#53B400	0.346820244479666	0.682425817536825	Aruba	#53B400
3.13841995766062	#C49A00	0.518889636754456	0.613373332882867	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.3188114727403	0.622024037657074	Bosnia and Herzegovina	#C49A00
2	#53B400	0.366578370280305	0.674249394691987	Barbados	#53B400
5.77571185341255	#A58AFF	0.701706580975747	0.404037146307956	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.227945806283518	0.729284340111372	Belgium	#C49A00
3.13841995766062	#FB61D7	0.658173567535879	0.232932339616416	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.173665240897149	0.737341052373077	Bulgaria	#C49A00
2	#00C094	0.724178735045704	0.559870682927596	Bahrain	#00C094
2.80498447189992	#FB61D7	0.691610395813883	0.298634448077017	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.668486874959289	0.212041512741975	Benin	#FB61D7
2	#F8766D	0.595750917341555	0.646012138349103	Brunei Darussalam	#F8766D
2.80498447189992	#53B400	0.668269752697744	0.321325874135229	Bolivia	#53B400
6.55367983064247	#53B400	0.567525023340643	0.516643761408371	Brazil	#53B400
2	#53B400	0.37591462752676	0.644842774970364	Bahamas, The	#53B400
2	#A58AFF	0.677388887682654	0.233474267526095	Bhutan	#A58AFF
2	#FB61D7	0.680428599344291	0.447672223910627	Botswana	#FB61D7
3.39427400463467	#C49A00	0.201891134898061	0.713011681510716	Belarus	#C49A00
2	#53B400	0.645797598627787	0.624979938976485	Belize	#53B400
4.12978872191586	#00B6EB	0.251720693922748	0.749509728157027	Canada	#00B6EB
4.12978872191586	#FB61D7	0.616703215580693	0.289393171092684	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.598682067872419	0.23952136212554	Central African Republic	#FB61D7
2	#FB61D7	0.619634366111557	0.435970989451294	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.221649260698699	0.754670584407686	Switzerland	#C49A00
3.13841995766062	#FB61D7	0.79539483683262	0.276554116043183	Cote d'Ivoire	#FB61D7
3.39427400463467	#53B400	0.474271012006861	0.560059179591832	Chile	#53B400
3.13841995766062	#FB61D7	0.609321058688147	0.315632590814824	Cameroon	#FB61D7
15.3248639767917	#F8766D	0.595316672818464	0.472110284381801	China	#F8766D
4.12978872191586	#53B400	0.650465727251015	0.55386501199025	Colombia	#53B400
2.80498447189992	#53B400	0.640260980958378	0.638504194601828	Costa Rica	#53B400
3.39427400463467	#53B400	0.446153679136722	0.678349197139122	Cuba	#53B400
2	#FB61D7	0.71212844952993	0.409623640187535	Cape Verde	#FB61D7
2	#C49A00	0.280055149054433	0.740914888321618	Cyprus	#C49A00
3.60996894379985	#C49A00	0.172579629589422	0.724275497299615	Czech Republic	#C49A00
6.25957744383172	#C49A00	0.227945806283518	0.726202647671271	Germany	#C49A00
2	#00C094	0.787578435416983	0.272320541769816	Djibouti	#00C094
3.13841995766062	#C49A00	0.237173502399201	0.756361733915448	Denmark	#C49A00
2.80498447189992	#53B400	0.702792192283475	0.499427479385742	Dominican Republic	#53B400
3.8	#00C094	0.755552901839025	0.41373028323942	Algeria	#00C094
3.13841995766062	#53B400	0.66892111948238	0.503579346435701	Ecuador	#53B400
2	#C49A00	0.161723516512148	0.714213347745221	Estonia	#C49A00
4.78854800926934	#00C094	0.640152419827605	0.384137447055144	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.684228238921336	0.276041070686896	Eritrea	#FB61D7
4.78854800926934	#C49A00	0.269416158238704	0.73471882055205	Spain	#C49A00
4.54558441227157	#FB61D7	0.700295286275702	0.276569317387074	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.205582213344334	0.710130646809962	Finland	#C49A00
2	#F8766D	0.526271793647002	0.537873198217962	Fiji	#F8766D
2	#F8766D	0.702357947760384	0.562177866896502	Micronesia, Fed. Sts.	#F8766D
5.50884596413123	#C49A00	0.257257311592157	0.733251890866664	France	#C49A00
2	#FB61D7	0.433126343443993	0.300222228446329	Gabon	#FB61D7
5.6	#C49A00	0.255411772369021	0.742790734157644	United Kingdom	#C49A00
2	#53B400	0.528660138524003	0.620351129761978	Grenada	#53B400
2.80498447189992	#C49A00	0.250417960353475	0.653003616437715	Georgia	#C49A00
3.39427400463467	#FB61D7	0.706374709598975	0.368947504173053	Ghana	#FB61D7
2	#FB61D7	0.592059838895282	0.177703197028836	Gambia, The	#FB61D7
2.80498447189992	#FB61D7	0.683468311005927	0.140513869269127	Guinea	#FB61D7
2	#FB61D7	0.563291139240506	0.227957319794814	Equatorial Guinea	#FB61D7
3.39427400463467	#C49A00	0.211227392144517	0.727271302146738	Greece	#C49A00
3.13841995766062	#53B400	0.643734937143105	0.393982597425508	Guatemala	#53B400
2	#F8766D	0.516392730746683	0.626644866166038	Guam	#F8766D
2	#FB61D7	0.500977050176955	0.190535411473587	Guinea-Bissau	#FB61D7
2	#53B400	0.61974292724233	0.479341563670278	Guyana	#53B400
2.80498447189992	#F8766D	0.414236706689537	0.717678494084949	Hong Kong SAR, China	#F8766D
2.80498447189992	#53B400	0.760438152723799	0.408529903494649	Honduras	#53B400
3.13841995766062	#C49A00	0.185715526412923	0.68674679953756	Croatia	#C49A00
3.13841995766062	#53B400	0.616486093319148	0.334569284932204	Haiti	#53B400
3.60996894379985	#C49A00	0.158466682588966	0.715511922547024	Hungary	#C49A00
6.96225755075248	#F8766D	0.561119916625052	0.39509343563027	Indonesia	#F8766D
2.80498447189992	#C49A00	0.382536856503897	0.728272690675493	Ireland	#C49A00
2.80498447189992	#00C094	0.366035564626441	0.753891515533323	Israel	#00C094
13.0667068272364	#A58AFF	0.577186963979417	0.351674217110838	India	#A58AFF
3.39427400463467	#00C094	0.733623553422932	0.480500286108294	Iraq	#00C094
4.54558441227157	#00C094	0.690633345636928	0.38881908093967	Iran, Islamic Rep.	#00C094
2	#C49A00	0.341717871333348	0.769704713514904	Iceland	#C49A00
5.6	#C49A00	0.238259113706928	0.732708442822596	Italy	#C49A00
2	#C49A00	0.221974944091018	0.738524096961316	Channel Islands	#C49A00
2.80498447189992	#53B400	0.585220487656599	0.670752705563689	Jamaica	#53B400
2	#00C094	0.827528931541351	0.532363091091431	Jordan	#00C094
6.89652938314476	#F8766D	0.124812732049417	0.733650926143778	Japan	#F8766D
3.60996894379985	#FB61D7	0.835453894087761	0.406365612158309	Kenya	#FB61D7
2.80498447189992	#C49A00	0.51704409753132	0.542510368171608	Kyrgyz Republic	#C49A00
3.13841995766062	#F8766D	0.634832924419741	0.332723841783956	Cambodia	#F8766D
2	#FB61D7	0.716145211368522	0.34189329241841	Comoros	#FB61D7
3.8	#F8766D	0.374069088303624	0.540102475299432	Korea, Dem. Rep.	#F8766D
4.66983145535444	#F8766D	0.494680504592136	0.525976626489641	Korea, Rep.	#F8766D
2	#00C094	0.758701174631435	0.639577029446865	Kuwait	#00C094
3.8	#C49A00	0.378628655796079	0.574611426097736	Kazakhstan	#C49A00
2.80498447189992	#F8766D	0.601830340664828	0.332105527121231	Lao PDR	#F8766D
2.80498447189992	#00C094	0.547658336409232	0.616686845817292	Lebanon	#00C094
2	#53B400	0.670549536443972	0.582030822016852	St. Lucia	#53B400
3.60996894379985	#A58AFF	0.479699068545498	0.56791485408059	Sri Lanka	#A58AFF
2	#FB61D7	0.664578674251471	0.248397806856514	Liberia	#FB61D7
2	#FB61D7	0.583049265041145	0.379741978469349	Lesotho	#FB61D7
2.80498447189992	#C49A00	0.194291855743969	0.741966061251611	Lithuania	#C49A00
2	#C49A00	0.207319191436698	0.711324712372523	Luxembourg	#C49A00
2.80498447189992	#C49A00	0.14435373558851	0.729299541455262	Latvia	#C49A00
2.80498447189992	#00C094	0.75652995201598	0.400418846428537	Libya	#00C094
3.8	#00C094	0.727218446707341	0.399523107239819	Morocco	#00C094
2.80498447189992	#C49A00	0.25736587272293	0.624176167918302	Moldova	#C49A00
2	#C49A00	0.220780771652517	0.655542240867347	Montenegro	#C49A00
3.13841995766062	#FB61D7	0.74621664459257	0.28659232348095	Madagascar	#FB61D7
2.80498447189992	#C49A00	0.331621686171483	0.629217693619422	Macedonia, FYR	#C49A00
3.13841995766062	#FB61D7	0.695627157652474	0.130826432841622	Mali	#FB61D7
4.41495341569977	#F8766D	0.618657315934603	0.35916315917825	Myanmar	#F8766D
2	#F8766D	0.778242178170528	0.460782242914967	Mongolia	#F8766D
2	#F8766D	0.30730399287839	0.68621893287098	Macao SAR, China	#F8766D
2	#FB61D7	0.691284712421565	0.320414933602621	Mauritania	#FB61D7
2	#00C094	0.20579933560588	0.708405674312045	Malta	#00C094
