size	colour	x	y	clickSelects	key	fill
2	#00C094	0.649138294720084	0.620502855157739	United Arab Emirates	United Arab Emirates	#00C094
3.8	#A58AFF	0.201144049340826	0.788446924463165	Afghanistan	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.688241851709142	0.442571161821221	Albania	Albania	#C49A00
2.80498447189992	#C49A00	0.726442828904733	0.262251123607703	Armenia	Armenia	#C49A00
3.13841995766062	#FB61D7	0.229267295604535	0.734057797946023	Angola	Angola	#FB61D7
4.54558441227157	#53B400	0.682648137191216	0.307629676270708	Argentina	Argentina	#53B400
3.39427400463467	#C49A00	0.7332746928825	0.16498035043533	Austria	Austria	#C49A00
3.8	#F8766D	0.753120047330904	0.213507175890744	Australia	Australia	#F8766D
2	#53B400	0.725528468069748	0.230334151160518	Aruba	Aruba	#53B400
3.13841995766062	#C49A00	0.644167075234454	0.396649803504353	Azerbaijan	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.689304425647055	0.223929044444927	Bosnia and Herzegovina	Bosnia and Herzegovina	#C49A00
2	#53B400	0.717836208027808	0.226100267060382	Barbados	Barbados	#53B400
6.1046315303569	#A58AFF	0.263111567641249	0.699861041752611	Bangladesh	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.749220902623118	0.151953014742602	Belgium	Belgium	#C49A00
3.13841995766062	#FB61D7	0.298880329814437	0.692261762598519	Burkina Faso	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.737101631206809	0.201891134898061	Bulgaria	Bulgaria	#C49A00
2	#00C094	0.668442481326005	0.573821568925462	Bahrain	Bahrain	#00C094
2.80498447189992	#FB61D7	0.320767224747271	0.693998740690883	Burundi	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.28912980780979	0.701923703237293	Benin	Benin	#FB61D7
2	#F8766D	0.697369498647898	0.556343226871051	Brunei Darussalam	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.369256851521215	0.638306880604468	Bolivia	Bolivia	#53B400
7.02712641575682	#53B400	0.563936282350977	0.451038930021495	Brazil	Brazil	#53B400
2	#53B400	0.665986704220574	0.314794710901709	Bahamas, The	Bahamas, The	#53B400
2	#A58AFF	0.292453201617742	0.679560110298109	Bhutan	Bhutan	#A58AFF
2	#FB61D7	0.514096016172406	0.660236229020561	Botswana	Botswana	#FB61D7
3.39427400463467	#C49A00	0.732048324464173	0.193206244436242	Belarus	Belarus	#C49A00
2	#53B400	0.684713239758675	0.635809974596695	Belize	Belize	#53B400
4.27683991532123	#00B6EB	0.768724226833998	0.152712942658011	Canada	Canada	#00B6EB
4.27683991532123	#FB61D7	0.328236785101223	0.640803786612241	Congo, Dem. Rep.	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.329985319682172	0.599333434657055	Central African Republic	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.479885011714345	0.639501053042968	Congo, Rep.	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.785077072523674	0.1412054627961	Switzerland	Switzerland	#C49A00
3.13841995766062	#FB61D7	0.362526456513914	0.814610156979395	Cote d'Ivoire	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.63636726568449	0.314794710901709	Chile	Chile	#53B400
3.39427400463467	#FB61D7	0.378832178037532	0.641889397919969	Cameroon	Cameroon	#FB61D7
16.7336349893704	#F8766D	0.646156551116058	0.404900449443081	China	China	#F8766D
4.41495341569977	#53B400	0.597825018318569	0.472425472783724	Colombia	Colombia	#53B400
2.80498447189992	#53B400	0.70233349749518	0.398929587250581	Costa Rica	Costa Rica	#53B400
3.39427400463467	#53B400	0.742148857411889	0.292756801354843	Cuba	Cuba	#53B400
2	#FB61D7	0.497573675498356	0.693455935037019	Cape Verde	Cape Verde	#FB61D7
2	#C49A00	0.772619571205813	0.213072931367653	Cyprus	Cyprus	#C49A00
3.60996894379985	#C49A00	0.719627686405245	0.220346527129427	Czech Republic	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.736058819015954	0.117213452895325	Germany	Germany	#C49A00
2	#00C094	0.328770352271763	0.720596217730204	Djibouti	Djibouti	#00C094
3.13841995766062	#C49A00	0.777617013009652	0.159226610504375	Denmark	Denmark	#C49A00
3.13841995766062	#53B400	0.571289932457768	0.53767071237814	Dominican Republic	Dominican Republic	#53B400
3.9718012070186	#00C094	0.492496806672692	0.752730312438934	Algeria	Algeria	#00C094
3.39427400463467	#53B400	0.555739717725485	0.587066026879736	Ecuador	Ecuador	#53B400
2.80498447189992	#C49A00	0.716398160895812	0.181264520051241	Estonia	Estonia	#C49A00
5.11769145362398	#00C094	0.446868072818845	0.564810995071325	Egypt, Arab Rep.	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.318708202717369	0.659476301105152	Eritrea	Eritrea	#FB61D7
4.90241278938748	#C49A00	0.764551457936191	0.264422346223158	Spain	Spain	#C49A00
4.78854800926934	#FB61D7	0.313419275144439	0.689330612067655	Ethiopia	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.735961530415058	0.12969798293419	Finland	Finland	#C49A00
2	#F8766D	0.581515116425383	0.399038148381353	Fiji	Fiji	#F8766D
2	#F8766D	0.615855712340106	0.688245000759928	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	#F8766D
5.6	#C49A00	0.758866155321328	0.18994941051306	France	France	#C49A00
2	#FB61D7	0.4049431464038	0.493486332153636	Gabon	Gabon	#FB61D7
5.68890227574546	#C49A00	0.757612044450401	0.161723516512148	United Kingdom	United Kingdom	#C49A00
2	#53B400	0.632870576556192	0.439531450159585	Grenada	Grenada	#53B400
3.13841995766062	#C49A00	0.693210030925994	0.228705734198927	Georgia	Georgia	#C49A00
3.60996894379985	#FB61D7	0.418304367615924	0.697472696875611	Ghana	Ghana	#FB61D7
2	#FB61D7	0.284710397107367	0.633095946327377	Gambia, The	Gambia, The	#FB61D7
3.13841995766062	#FB61D7	0.184947777493216	0.699318236098747	Guinea	Guinea	#FB61D7
2	#FB61D7	0.265591286863306	0.56937056256378	Equatorial Guinea	Equatorial Guinea	#FB61D7
3.39427400463467	#C49A00	0.761229584262627	0.212747247975335	Greece	Greece	#C49A00
3.13841995766062	#53B400	0.479454053615065	0.62647371735024	Guatemala	Guatemala	#53B400
2	#F8766D	0.678116616577606	0.378520094665306	Guam	Guam	#F8766D
2	#FB61D7	0.222117723539467	0.712454132922248	Guinea-Bissau	Guinea-Bissau	#FB61D7
2	#53B400	0.527057062006625	0.452124541329222	Guyana	Guyana	#53B400
3.13841995766062	#F8766D	0.758980165400502	0.275387020431205	Hong Kong SAR, China	Hong Kong SAR, China	#F8766D
2.80498447189992	#53B400	0.484247037343583	0.70615758733743	Honduras	Honduras	#53B400
3.13841995766062	#C49A00	0.716334315251474	0.167802939835421	Croatia	Croatia	#C49A00
3.13841995766062	#53B400	0.383313154182708	0.562856894717415	Haiti	Haiti	#53B400
3.60996894379985	#C49A00	0.706562131331783	0.199719912282606	Hungary	Hungary	#C49A00
7.51869549803212	#F8766D	0.473762670462645	0.512593091169638	Indonesia	Indonesia	#F8766D
2.80498447189992	#C49A00	0.740143800152796	0.345951755433485	Ireland	Ireland	#C49A00
2.80498447189992	#00C094	0.744170256115663	0.346928805610439	Israel	Israel	#00C094
14.1015701460596	#A58AFF	0.436195589307268	0.513027335692729	India	India	#A58AFF
3.60996894379985	#00C094	0.567495677022823	0.721030462253295	Iraq	Iraq	#00C094
4.78854800926934	#00C094	0.476945071806017	0.627342206396422	Iran, Islamic Rep.	Iran, Islamic Rep.	#00C094
2	#C49A00	0.788577181954349	0.242058753283974	Iceland	Iceland	#C49A00
