size	colour	x	y	clickSelects	fill
2.80498447189992	#00C094	0.342369238117984	0.767937937321287	United Arab Emirates	#00C094
3.9718012070186	#A58AFF	0.827420370410578	0.306036742484256	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.244555659291747	0.743485055539821	Albania	#C49A00
2.80498447189992	#C49A00	0.189515165989969	0.691461876378643	Armenia	#C49A00
3.60996894379985	#FB61D7	0.72005341207634	0.277578306587772	Angola	#FB61D7
4.90241278938748	#53B400	0.260188462123021	0.755649550954203	Argentina	#53B400
3.39427400463467	#C49A00	0.109614173741234	0.818888661671024	Austria	#C49A00
4.12978872191586	#F8766D	0.153255748311874	0.841029419046821	Australia	#F8766D
2	#53B400	0.182133009097423	0.773370517593979	Aruba	#53B400
3.39427400463467	#C49A00	0.226860194975791	0.629177790091712	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.119818920033871	0.667331263087644	Bosnia and Herzegovina	#C49A00
2	#53B400	0.138382873396009	0.794223341108694	Barbados	#53B400
7.33966291070888	#A58AFF	0.373092038126669	0.587133533127129	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.121555898126235	0.822544584876571	Belgium	#C49A00
3.60996894379985	#FB61D7	0.671960831144017	0.388433726872058	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.102014894587142	0.737113032214727	Bulgaria	#C49A00
2	#00C094	0.29937903033198	0.765237798612825	Bahrain	#00C094
3.13841995766062	#FB61D7	0.646014720889333	0.322176009292278	Burundi	#FB61D7
3.13841995766062	#FB61D7	0.653071194389561	0.414790957009346	Benin	#FB61D7
2	#F8766D	0.28591745011616	0.791664954932006	Brunei Darussalam	#F8766D
3.39427400463467	#53B400	0.459506698221769	0.573159697756239	Bolivia	#53B400
8.18320305343436	#53B400	0.228705734198927	0.686194610720756	Brazil	#53B400
2	#53B400	0.231854006991337	0.715366369679278	Bahamas, The	#53B400
2	#A58AFF	0.488383959007317	0.497754951524245	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.400232320819854	0.573553032529395	Botswana	#FB61D7
3.60996894379985	#C49A00	0.117213452895325	0.699086870473871	Belarus	#C49A00
2	#53B400	0.409351455804764	0.765330146776957	Belize	#53B400
4.66983145535444	#00B6EB	0.134528953253577	0.840778596872636	Canada	#00B6EB
5.11769145362398	#FB61D7	0.728195496884295	0.347440262803873	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.563616822632824	0.355833684832742	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.510964674208046	0.482317606770344	Congo, Rep.	#FB61D7
3.39427400463467	#C49A00	0.115042230279871	0.848383069153612	Switzerland	#C49A00
3.8	#FB61D7	0.572735957617735	0.428234645512071	Cote d'Ivoire	#FB61D7
3.8	#53B400	0.219586599214017	0.792534471802515	Chile	#53B400
