size	colour	x	y	clickSelects	fill
3.13841995766062	#00C094	0.16020366068133	0.812365765007823	United Arab Emirates	#00C094
4.54558441227157	#A58AFF	0.680645721605836	0.36310600774972	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.130783594241918	0.819143284181183	Albania	#C49A00
2.80498447189992	#C49A00	0.1412054627961	0.770130731177421	Armenia	#C49A00
4.12978872191586	#FB61D7	0.5935796947261	0.397852099512709	Angola	#FB61D7
5.11769145362398	#53B400	0.197982934190243	0.797976932948735	Argentina	#53B400
3.39427400463467	#C49A00	0.103100505894869	0.873826318489513	Austria	#C49A00
4.27683991532123	#F8766D	0.162917688950648	0.894234122661849	Australia	#F8766D
2	#53B400	0.142182512973055	0.788835604800478	Aruba	#53B400
3.39427400463467	#C49A00	0.167151573050785	0.714362320915344	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.081279718609549	0.795696351331637	Bosnia and Herzegovina	#C49A00
2	#53B400	0.118081941941507	0.81378253025837	Barbados	#53B400
7.91540362105579	#A58AFF	0.216764009813926	0.681921892986872	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.150867403434874	0.870710042992061	Belgium	#C49A00
3.8	#FB61D7	0.600419045964783	0.460826706845846	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.107442951125779	0.759778235954728	Bulgaria	#C49A00
2	#00C094	0.236522135614565	0.790440486681665	Bahrain	#00C094
3.39427400463467	#FB61D7	0.467431660768178	0.384005575396899	Burundi	#FB61D7
3.39427400463467	#FB61D7	0.551566537117051	0.475687920666315	Benin	#FB61D7
2	#00B6EB	0.144006339970037	0.856351993654352	Bermuda	#00B6EB
2	#F8766D	0.183327181535923	0.835515891617914	Brunei Darussalam	#F8766D
3.60996894379985	#53B400	0.338786720802484	0.645789818694712	Bolivia	#53B400
8.78291972531004	#53B400	0.164328983650694	0.751154513565927	Brazil	#53B400
2	#53B400	0.156946826758148	0.78629812047164	Bahamas, The	#53B400
2	#A58AFF	0.242927242330156	0.652199465345933	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.269199035977159	0.438888127343786	Botswana	#FB61D7
3.60996894379985	#C49A00	0.102014894587142	0.721448047336074	Belarus	#C49A00
2	#53B400	0.275821264954296	0.797928288648287	Belize	#53B400
4.78854800926934	#00B6EB	0.133378205267386	0.886625850044899	Canada	#00B6EB
5.68890227574546	#FB61D7	0.621154221942376	0.365349346074289	Congo, Dem. Rep.	#FB61D7
3.13841995766062	#FB61D7	0.485561369607226	0.336262714641551	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.459723820483314	0.496562026062475	Congo, Rep.	#FB61D7
3.39427400463467	#C49A00	0.111785396356688	0.901226740851253	Switzerland	#C49A00
4.12978872191586	#FB61D7	0.462546409883405	0.449123952252123	Cote d'Ivoire	#FB61D7
3.9718012070186	#53B400	0.159986538419784	0.851254222980837	Chile	#53B400
4.12978872191586	#FB61D7	0.463089215537269	0.403771122789881	Cameroon	#FB61D7
19.819090885901	#F8766D	0.1316520832881	0.758986245938059	China	#F8766D
5.31903600462544	#53B400	0.21969516034479	0.76118626043254	Colombia	#53B400
3.13841995766062	#53B400	0.165414594958421	0.855728358521265	Costa Rica	#53B400
3.60996894379985	#53B400	0.118299064203053	0.847374079952912	Cuba	#53B400
2	#FB61D7	0.241950192153201	0.765191814547557	Cape Verde	#FB61D7
2	#53B400	0.170408406973967	0.801847955170326	Curacao	#53B400
2	#C49A00	0.116453524979916	0.85629688878275	Cyprus	#C49A00
3.60996894379985	#C49A00	0.109614173741234	0.823053829896887	Czech Republic	#C49A00
6.48196385527594	#C49A00	0.102014894587142	0.866833700300109	Germany	#C49A00
2	#00C094	0.388073474173307	0.505694613437996	Djibouti	#00C094
3.13841995766062	#C49A00	0.153038626050329	0.845969855811073	Denmark	#C49A00
3.60996894379985	#53B400	0.244881342684065	0.757301557001449	Dominican Republic	#53B400
4.90241278938748	#00C094	0.211987320059926	0.75179258997571	Algeria	#00C094
3.8	#53B400	0.235436524306837	0.796262601391539	Ecuador	#53B400
2	#C49A00	0.130240788588054	0.76213444425768	Estonia	#C49A00
6.25957744383172	#00C094	0.265616518661658	0.752436366889451	Egypt, Arab Rep.	#00C094
3.13841995766062	#FB61D7	0.466997416245088	0.5568433352919	Eritrea	#FB61D7
5.31903600462544	#C49A00	0.104186117202597	0.887697544789145	Spain	#C49A00
6.40908153700972	#FB61D7	0.463849143452678	0.511419059513376	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.151953014742602	0.862615327370633	Finland	#C49A00
2	#F8766D	0.254434722192066	0.700073817725931	Fiji	#F8766D
2	#F8766D	0.350728445187485	0.690660385522043	Micronesia, Fed. Sts.	#F8766D
5.9436024140372	#C49A00	0.168237184358512	0.886785464155745	France	#C49A00
2.80498447189992	#FB61D7	0.320874134224982	0.576474730825053	Gabon	#FB61D7
5.8605699061149	#C49A00	0.159552293896693	0.865503582709734	United Kingdom	#C49A00
2	#53B400	0.203085307336561	0.798472116725952	Grenada	#53B400
3.13841995766062	#C49A00	0.123835681872462	0.762550581046668	Georgia	#C49A00
4.27683991532123	#FB61D7	0.425744186551447	0.598305760819091	Ghana	#FB61D7
2	#C49A00	0.195377467051697	0.693956416910994	Greenland	#C49A00
2.80498447189992	#FB61D7	0.510530429684956	0.519149322915042	Gambia, The	#FB61D7
3.60996894379985	#FB61D7	0.548526825455414	0.440751812104702	Guinea	#FB61D7
2	#FB61D7	0.538756323685867	0.405912992143984	Equatorial Guinea	#FB61D7
3.60996894379985	#C49A00	0.106357339818052	0.865351569270833	Greece	#C49A00
3.8	#53B400	0.409134333543218	0.720226999388108	Guatemala	#53B400
2	#F8766D	0.230768395683609	0.803350227980255	Guam	#F8766D
2.80498447189992	#FB61D7	0.528985821916321	0.354339392728354	Guinea-Bissau	#FB61D7
2	#53B400	0.207319191436698	0.692540791761236	Guyana	#53B400
3.39427400463467	#F8766D	0.0648869878628656	0.910347547185257	Hong Kong SAR, China	#F8766D
3.39427400463467	#53B400	0.315771761078663	0.748800965498156	Honduras	#53B400
3.13841995766062	#C49A00	0.105271728510324	0.807179826539746	Croatia	#C49A00
3.60996894379985	#53B400	0.341934993594893	0.573180599604089	Haiti	#53B400
3.60996894379985	#C49A00	0.0965868380485051	0.767378907899732	Hungary	#C49A00
9.46511888719798	#F8766D	0.193206244436242	0.682590752118033	Indonesia	#F8766D
3.13841995766062	#C49A00	0.171494018281694	0.859157021635656	Ireland	#C49A00
3.39427400463467	#00C094	0.268113424669431	0.953785387350955	Israel	#00C094
18.7119119193466	#A58AFF	0.250960766007339	0.625858196619731	India	#A58AFF
4.66983145535444	#00C094	0.483824391514862	0.684997884923015	Iraq	#00C094
6.18282201390401	#00C094	0.144245174457737	0.748422832068893	Iran, Islamic Rep.	#00C094
2	#C49A00	0.180178908743513	0.8967423444037	Iceland	#C49A00
5.77571185341255	#C49A00	0.102014894587142	0.894120112582673	Italy	#C49A00
2	#C49A00	0.107551512256552	0.863197158808023	Channel Islands	#C49A00
2.80498447189992	#53B400	0.215352715113881	0.750077118317723	Jamaica	#53B400
3.13841995766062	#00C094	0.365818442364896	0.763260863839929	Jordan	#00C094
7.57709601853868	#F8766D	0.0987580606639599	0.913155995468936	Japan	#F8766D
5.01197609552267	#FB61D7	0.477636407060816	0.474991319082555	Kenya	#FB61D7
3.13841995766062	#C49A00	0.257257311592157	0.684721600497813	Kyrgyz Republic	#C49A00
3.8	#F8766D	0.261599756823067	0.579052498715202	Cambodia	#F8766D
2	#FB61D7	0.508250645938728	0.555141544843413	Comoros	#FB61D7
4.41495341569977	#F8766D	0.174859413335649	0.692427921782853	Korea, Dem. Rep.	#F8766D
5.41525987298185	#F8766D	0.0889875588944134	0.863956845968924	Korea, Rep.	#F8766D
2.80498447189992	#C49A00	0.217198254337017	0.705539840955181	Kosovo	#C49A00
