size	colour	x	y	clickSelects	key	fill
2.80498447189992	#00C094	0.779370488027365	0.284940399939206	United Arab Emirates	United Arab Emirates	#00C094
4.12978872191586	#A58AFF	0.319859704517038	0.822209436133487	Afghanistan	Afghanistan	#A58AFF
2	#53B400	0.792005085001545	0.137840067742146	Antigua and Barbuda	Antigua and Barbuda	#53B400
2.80498447189992	#C49A00	0.760287100941446	0.222300627483336	Albania	Albania	#C49A00
2.80498447189992	#C49A00	0.710357526867521	0.152821503788783	Armenia	Armenia	#C49A00
3.8	#FB61D7	0.298541719879288	0.709197298999066	Angola	Angola	#FB61D7
4.90241278938748	#53B400	0.766072732425984	0.241733069891656	Argentina	Argentina	#53B400
3.39427400463467	#C49A00	0.83338694340612	0.100929283279415	Austria	Austria	#C49A00
4.12978872191586	#F8766D	0.850416248898901	0.146307835942419	Australia	Australia	#F8766D
2	#53B400	0.774602206482667	0.16812862322774	Aruba	Aruba	#53B400
3.39427400463467	#C49A00	0.647576356635384	0.178007686128059	Azerbaijan	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.739281503920636	0.11699633063378	Bosnia and Herzegovina	Bosnia and Herzegovina	#C49A00
2	#53B400	0.798170370049734	0.131434961026554	Barbados	Barbados	#53B400
7.45967031971712	#A58AFF	0.612271615484439	0.329233341294483	Bangladesh	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.833124720224017	0.126983954664872	Belgium	Belgium	#C49A00
3.60996894379985	#FB61D7	0.396834369539273	0.651551338558742	Burkina Faso	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.723751050935409	0.0716177779707754	Bulgaria	Bulgaria	#C49A00
2	#00C094	0.771465029137365	0.269524719369477	Bahrain	Bahrain	#00C094
3.13841995766062	#FB61D7	0.329160266742542	0.619417243850012	Burundi	Burundi	#FB61D7
3.13841995766062	#FB61D7	0.432735383404305	0.626365156219467	Benin	Benin	#FB61D7
2	#F8766D	0.80367857700828	0.243904292507111	Brunei Darussalam	Brunei Darussalam	#F8766D
3.39427400463467	#53B400	0.591535462284079	0.429869509520811	Bolivia	Bolivia	#53B400
8.33845407019724	#53B400	0.704397079928248	0.219369476952472	Brazil	Brazil	#53B400
2	#53B400	0.728604460005892	0.209164730659835	Bahamas, The	Bahamas, The	#53B400
2	#A58AFF	0.540061051637331	0.415322317997264	Bhutan	Bhutan	#A58AFF
2.80498447189992	#FB61D7	0.494709742309479	0.359956141303168	Botswana	Botswana	#FB61D7
