size	colour	x	y	clickSelects	key	fill
2	#00C094	0.704249246858919	0.533436828278003	United Arab Emirates	United Arab Emirates	#00C094
3.8	#A58AFF	0.243466490898594	0.796046203617257	Afghanistan	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.718285787773353	0.385902251557852	Albania	Albania	#C49A00
2.80498447189992	#C49A00	0.72854251452954	0.210901708752198	Armenia	Armenia	#C49A00
3.39427400463467	#FB61D7	0.255359262290942	0.735034848122978	Angola	Angola	#FB61D7
4.66983145535444	#53B400	0.714255151440919	0.308281043055344	Argentina	Argentina	#53B400
3.39427400463467	#C49A00	0.761252766312059	0.134583233818963	Austria	Austria	#C49A00
3.9718012070186	#F8766D	0.790940990929244	0.163351933473739	Australia	Australia	#F8766D
2	#53B400	0.756645238978997	0.211335953275289	Aruba	Aruba	#53B400
3.13841995766062	#C49A00	0.635953409097086	0.298401980155025	Azerbaijan	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.726818302098815	0.175836463512604	Bosnia and Herzegovina	Bosnia and Herzegovina	#C49A00
2	#53B400	0.75342065390633	0.166065961743057	Barbados	Barbados	#53B400
6.55367983064247	#A58AFF	0.497162099112534	0.629839112404195	Bangladesh	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.774709755990689	0.134583233818963	Belgium	Belgium	#C49A00
3.39427400463467	#FB61D7	0.356557648835503	0.72124758451484	Burkina Faso	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.742771732477782	0.171494018281694	Bulgaria	Bulgaria	#C49A00
2	#00C094	0.722365448439835	0.474705256529952	Bahrain	Bahrain	#00C094
3.13841995766062	#FB61D7	0.363420675568245	0.669463925136244	Burundi	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.337972485795579	0.715928089106976	Benin	Benin	#FB61D7
2	#F8766D	0.734417073875834	0.398712464989035	Brunei Darussalam	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.449316629285928	0.54201315760905	Bolivia	Bolivia	#53B400
7.45967031971712	#53B400	0.607564139315301	0.38383959007317	Brazil	Brazil	#53B400
2	#53B400	0.686562103209297	0.278318170962069	Bahamas, The	Bahamas, The	#53B400
2	#A58AFF	0.359649602182731	0.659042056582061	Bhutan	Bhutan	#A58AFF
2	#FB61D7	0.577515642847922	0.618223071411512	Botswana	Botswana	#FB61D7
3.60996894379985	#C49A00	0.723339474549587	0.172579629589422	Belarus	Belarus	#C49A00
2	#53B400	0.725559630824722	0.570347612740734	Belize	Belize	#53B400
4.41495341569977	#00B6EB	0.803641713749347	0.137840067742146	Canada	Canada	#00B6EB
4.54558441227157	#FB61D7	0.34375203674256	0.673914931497926	Congo, Dem. Rep.	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.393817282810704	0.599767679180146	Central African Republic	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.507296455050405	0.616811776711466	Congo, Rep.	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.806986009405148	0.121555898126235	Switzerland	Switzerland	#C49A00
3.39427400463467	#FB61D7	0.436577523072505	0.767603187354799	Cote d'Ivoire	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.716067151632607	0.241624508760883	Chile	Chile	#53B400
3.39427400463467	#FB61D7	0.431473291827837	0.650791410643333	Cameroon	Cameroon	#FB61D7
17.4841854806767	#F8766D	0.675631196851589	0.23435091299911	China	China	#F8766D
4.54558441227157	#53B400	0.656155235059711	0.373092038126669	Colombia	Colombia	#53B400
2.80498447189992	#53B400	0.766170781094074	0.341609310202575	Costa Rica	Costa Rica	#53B400
3.60996894379985	#53B400	0.776987677372606	0.153364309442647	Cuba	Cuba	#53B400
2	#FB61D7	0.569308057248109	0.63439867989665	Cape Verde	Cape Verde	#FB61D7
2	#C49A00	0.795289335348982	0.212204442321471	Cyprus	Cyprus	#C49A00
3.60996894379985	#C49A00	0.729531361949585	0.170408406973967	Czech Republic	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.766412482461925	0.108528562433506	Germany	Germany	#C49A00
2	#00C094	0.382062083580561	0.675217665067199	Djibouti	Djibouti	#00C094
3.13841995766062	#C49A00	0.784195394578054	0.109288490348915	Denmark	Denmark	#C49A00
3.13841995766062	#53B400	0.615150750017206	0.42031613001281	Dominican Republic	Dominican Republic	#53B400
4.12978872191586	#00C094	0.567705075534907	0.686833706059882	Algeria	Algeria	#00C094
3.39427400463467	#53B400	0.617753980158369	0.487081225438044	Ecuador	Ecuador	#53B400
