size	colour	x	y	clickSelects	key	fill
2	#00C094	0.690971633038191	0.552217903901687	United Arab Emirates	United Arab Emirates	#00C094
3.8	#A58AFF	0.233103354735179	0.791920880647893	Afghanistan	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.708572509061236	0.398278220465944	Albania	Albania	#C49A00
2.80498447189992	#C49A00	0.728177302242582	0.21611264302929	Armenia	Armenia	#C49A00
3.39427400463467	#FB61D7	0.25097709488105	0.734600603599887	Angola	Angola	#FB61D7
4.54558441227157	#53B400	0.705493096822719	0.318920033871073	Argentina	Argentina	#53B400
3.39427400463467	#C49A00	0.753918117885131	0.126983954664872	Austria	Austria	#C49A00
3.8	#F8766D	0.780664882459599	0.160312221812102	Australia	Australia	#F8766D
2	#53B400	0.748706717166038	0.214701348329244	Aruba	Aruba	#53B400
3.13841995766062	#C49A00	0.636132784954987	0.32315391797121	Azerbaijan	Azerbaijan	#C49A00
3.13841995766062	#C49A00	0.718783631785751	0.186041209805241	Bosnia and Herzegovina	Bosnia and Herzegovina	#C49A00
2	#53B400	0.74449252460613	0.176596391428013	Barbados	Barbados	#53B400
6.40908153700972	#A58AFF	0.469703151576819	0.65860781205897	Bangladesh	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.768040166358948	0.136645895303645	Belgium	Belgium	#C49A00
3.13841995766062	#FB61D7	0.34167895346956	0.718967800768613	Burkina Faso	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.738663569291507	0.186692576589878	Bulgaria	Bulgaria	#C49A00
2	#00C094	0.709756693750268	0.5	Bahrain	Bahrain	#00C094
2.80498447189992	#FB61D7	0.351603910895346	0.6811885272597	Burundi	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.326695368830777	0.715168161191567	Benin	Benin	#FB61D7
2	#F8766D	0.724397108050735	0.434103393620948	Brunei Darussalam	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.425113809611453	0.564919556202097	Bolivia	Bolivia	#53B400
7.33966291070888	#53B400	0.595114618702981	0.405877499620036	Brazil	Brazil	#53B400
2	#53B400	0.67859849917892	0.277883926438978	Bahamas, The	Bahamas, The	#53B400
2	#A58AFF	0.340015546414396	0.669898169659335	Bhutan	Bhutan	#A58AFF
2	#FB61D7	0.561507487630952	0.636244219119786	Botswana	Botswana	#FB61D7
3.60996894379985	#C49A00	0.724537720481718	0.175836463512604	Belarus	Belarus	#C49A00
2	#53B400	0.715251979566506	0.603784441018738	Belize	Belize	#53B400
4.41495341569977	#00B6EB	0.794102870458366	0.143702368803873	Canada	Canada	#00B6EB
4.54558441227157	#FB61D7	0.339412053061963	0.662733135028334	Congo, Dem. Rep.	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.381016231120929	0.599659118049374	Central African Republic	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.500221749603995	0.629730551273422	Congo, Rep.	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.803447896614748	0.116670647241462	Switzerland	Switzerland	#C49A00
3.39427400463467	#FB61D7	0.419284094229635	0.789315413509347	Cote d'Ivoire	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.694528367474856	0.248355298868793	Chile	Chile	#53B400
3.39427400463467	#FB61D7	0.418313108388661	0.651117094035651	Cameroon	Cameroon	#FB61D7
17.2735064736294	#F8766D	0.667466555048266	0.250309399222702	China	China	#F8766D
4.54558441227157	#53B400	0.638458590570158	0.400666565342945	Colombia	Colombia	#53B400
2.80498447189992	#53B400	0.749191640036129	0.351162689710576	Costa Rica	Costa Rica	#53B400
3.60996894379985	#53B400	0.76994831505074	0.168997112273921	Cuba	Cuba	#53B400
2	#FB61D7	0.550464471362056	0.656002344920425	Cape Verde	Cape Verde	#FB61D7
2	#C49A00	0.789197016751464	0.206016457867425	Cyprus	Cyprus	#C49A00
3.60996894379985	#C49A00	0.729956999578506	0.199719912282606	Czech Republic	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.757892129211575	0.103100505894869	Germany	Germany	#C49A00
2	#00C094	0.36594067835161	0.683793994398246	Djibouti	Djibouti	#00C094
3.13841995766062	#C49A00	0.784020579123318	0.127201076926417	Denmark	Denmark	#C49A00
3.13841995766062	#53B400	0.603472317573708	0.447456412705995	Dominican Republic	Dominican Republic	#53B400
4.12978872191586	#00C094	0.545544556412054	0.717013700414703	Algeria	Algeria	#00C094
3.39427400463467	#53B400	0.598394688680848	0.517586903185184	Ecuador	Ecuador	#53B400
2.80498447189992	#C49A00	0.704462065673378	0.171385457150922	Estonia	Estonia	#C49A00
5.2199378875997	#00C094	0.49322951144819	0.541470351955186	Egypt, Arab Rep.	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.314445745890611	0.660019106759016	Eritrea	Eritrea	#FB61D7
5.01197609552267	#C49A00	0.793361804943729	0.207427752567471	Spain	Spain	#C49A00
4.90241278938748	#FB61D7	0.314619801278152	0.692261762598519	Ethiopia	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.767443513611266	0.131543522157327	Finland	Finland	#C49A00
2	#F8766D	0.604809655802432	0.381125561803852	Fiji	Fiji	#F8766D
2	#F8766D	0.640941730094592	0.638415441735241	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	#F8766D
5.6	#C49A00	0.778285872140812	0.156295459973511	France	France	#C49A00
2	#FB61D7	0.469005789925864	0.512267407777319	Gabon	Gabon	#FB61D7
5.68890227574546	#C49A00	0.769317079245709	0.155209848665784	United Kingdom	United Kingdom	#C49A00
2	#53B400	0.639126689634124	0.41673361269731	Grenada	Grenada	#53B400
3.13841995766062	#C49A00	0.707793060153276	0.207644874829016	Georgia	Georgia	#C49A00
3.60996894379985	#FB61D7	0.4500531343974	0.670332414182426	Ghana	Ghana	#FB61D7
2	#FB61D7	0.354825455699237	0.641889397919969	Gambia, The	Gambia, The	#FB61D7
3.13841995766062	#FB61D7	0.224857765775641	0.705831903945111	Guinea	Guinea	#FB61D7
2	#FB61D7	0.289525802818124	0.57295307987928	Equatorial Guinea	Equatorial Guinea	#FB61D7
3.60996894379985	#C49A00	0.782671839886678	0.198742862105652	Greece	Greece	#C49A00
3.39427400463467	#53B400	0.514141620204076	0.625930911696376	Guatemala	Guatemala	#53B400
2	#F8766D	0.704060750194683	0.315880322209436	Guam	Guam	#F8766D
2	#FB61D7	0.245512971819786	0.635375730073604	Guinea-Bissau	Guinea-Bissau	#FB61D7
2	#53B400	0.550887828789392	0.355939379464576	Guyana	Guyana	#53B400
3.13841995766062	#F8766D	0.775511626880886	0.183435742666696	Hong Kong SAR, China	Hong Kong SAR, China	#F8766D
2.80498447189992	#53B400	0.541420811848292	0.65144277742797	Honduras	Honduras	#53B400
3.13841995766062	#C49A00	0.724936755758829	0.171494018281694	Croatia	Croatia	#C49A00
3.13841995766062	#53B400	0.413848853721762	0.601396096141737	Haiti	Haiti	#53B400
3.60996894379985	#C49A00	0.71228543730637	0.171494018281694	Hungary	Hungary	#C49A00
7.86037541459589	#F8766D	0.516907124691265	0.447999218359858	Indonesia	Indonesia	#F8766D
2.80498447189992	#C49A00	0.754474487071504	0.303830036693662	Ireland	Ireland	#C49A00
2.80498447189992	#00C094	0.772927398419584	0.311320754716981	Israel	Israel	#00C094
14.8293413704679	#A58AFF	0.483076533864053	0.47025425016827	India	India	#A58AFF
3.8	#00C094	0.538440208345059	0.67565190959029	Iraq	Iraq	#00C094
5.01197609552267	#00C094	0.463143011621086	0.650031482727924	Iran, Islamic Rep.	Iran, Islamic Rep.	#00C094
2	#C49A00	0.823813897091386	0.223603361052609	Iceland	Iceland	#C49A00
5.68890227574546	#C49A00	0.780645880779737	0.144570857850055	Italy	Italy	#C49A00
2	#C49A00	0.7668305194189	0.11341381331828	Channel Islands	Channel Islands	#C49A00
2.80498447189992	#53B400	0.722332005483277	0.370052326465032	Jamaica	Jamaica	#53B400
2.80498447189992	#00C094	0.664658106764587	0.745673838938706	Jordan	Jordan	#00C094
7.27863618750147	#F8766D	0.817026497044499	0.145439346896237	Japan	Japan	#F8766D
3.9718012070186	#FB61D7	0.519095358144233	0.771619949193391	Kenya	Kenya	#FB61D7
2.80498447189992	#C49A00	0.602247849323367	0.392307358273444	Kyrgyz Republic	Kyrgyz Republic	#C49A00
3.39427400463467	#F8766D	0.18523052248957	0.546247041709186	Cambodia	Cambodia	#F8766D
2	#FB61D7	0.430927563582186	0.726892763315023	Comoros	Comoros	#FB61D7
3.9718012070186	#F8766D	0.676103198579373	0.243795731376338	Korea, Dem. Rep.	Korea, Dem. Rep.	#F8766D
5.01197609552267	#F8766D	0.644962485553498	0.268113424669431	Korea, Rep.	Korea, Rep.	#F8766D
2.80498447189992	#00C094	0.720586131137509	0.573713007794689	Kuwait	Kuwait	#00C094
3.8	#C49A00	0.630679302834447	0.281032199231387	Kazakhstan	Kazakhstan	#C49A00
2.80498447189992	#F8766D	0.382097426705105	0.629947673534967	Lao PDR	Lao PDR	#F8766D
2.80498447189992	#00C094	0.662341041922152	0.408591527889354	Lebanon	Lebanon	#00C094
2	#53B400	0.693876229821974	0.484258636037953	St. Lucia	St. Lucia	#53B400
3.8	#A58AFF	0.682827513049119	0.331947369563801	Sri Lanka	Sri Lanka	#A58AFF
2.80498447189992	#FB61D7	0.310629068473427	0.709305860129839	Liberia	Liberia	#FB61D7
2	#FB61D7	0.454134695231868	0.564810995071325	Lesotho	Lesotho	#FB61D7
2.80498447189992	#C49A00	0.725791831352642	0.174750852204877	Lithuania	Lithuania	#C49A00
2	#C49A00	0.744599694080555	0.113956618972143	Luxembourg	Luxembourg	#C49A00
2.80498447189992	#C49A00	0.694838094856615	0.156295459973511	Latvia	Latvia	#C49A00
2.80498447189992	#00C094	0.547415461811317	0.758592613500662	Libya	Libya	#00C094
4.12978872191586	#00C094	0.513213198125994	0.579358186594872	Morocco	Morocco	#00C094
2.80498447189992	#C49A00	0.637030044278095	0.220563649390972	Moldova	Moldova	#C49A00
2	#C49A00	0.770775268158357	0.205256529952016	Montenegro	Montenegro	#C49A00
3.39427400463467	#FB61D7	0.371683746073256	0.679234426905791	Madagascar	Madagascar	#FB61D7
2.80498447189992	#C49A00	0.712372845033738	0.221540699567927	Macedonia, FYR	Macedonia, FYR	#C49A00
3.13841995766062	#FB61D7	0.23705152377701	0.716579455891612	Mali	Mali	#FB61D7
