size	colour	x	y	clickSelects	fill
2	#00C094	0.56383394489437	0.683771516504688	United Arab Emirates	#00C094
3.8	#A58AFF	0.790401024817074	0.22741197158276	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.405986060750809	0.704249626892516	Albania	#C49A00
2.80498447189992	#C49A00	0.222409188614109	0.727253440567667	Armenia	#C49A00
3.39427400463467	#FB61D7	0.734274920207569	0.248023853796818	Angola	#FB61D7
4.54558441227157	#53B400	0.321416939878846	0.700846806062737	Argentina	#53B400
3.39427400463467	#C49A00	0.129263738411099	0.748928276753235	Austria	#C49A00
3.8	#F8766D	0.164871789304557	0.775526828224776	Australia	#F8766D
2	#53B400	0.216546887552381	0.744296047236353	Aruba	#53B400
3.13841995766062	#C49A00	0.337483987233211	0.637703463812422	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.19233775539006	0.714721832698342	Bosnia and Herzegovina	#C49A00
2	#53B400	0.183544303797468	0.739702961179986	Barbados	#53B400
6.33497404836523	#A58AFF	0.670223853051653	0.439806288514743	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.136863017565191	0.760317883662823	Belgium	#C49A00
3.13841995766062	#FB61D7	0.715602405714658	0.333359257958559	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.186692576589878	0.736736798953449	Bulgaria	#C49A00
2	#00C094	0.513135896823501	0.702682368337455	Bahrain	#00C094
2.80498447189992	#FB61D7	0.686399461536791	0.345164241589942	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.713648305360749	0.320291802717112	Benin	#FB61D7
2	#F8766D	0.457552597867859	0.719231311363312	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.578706819810235	0.413020380479757	Bolivia	#53B400
7.27863618750147	#53B400	0.415322317997264	0.588831143206046	Brazil	#53B400
2	#53B400	0.280272271315978	0.675234061742462	Bahamas, The	#53B400
2	#A58AFF	0.674132053759472	0.330084128417457	Bhutan	#A58AFF
2	#FB61D7	0.642649325835378	0.552944950651307	Botswana	#FB61D7
3.60996894379985	#C49A00	0.176922074820331	0.726137281892543	Belarus	#C49A00
2	#53B400	0.616486093319148	0.709638503301524	Belize	#53B400
4.41495341569977	#00B6EB	0.145222224634692	0.788858406816314	Canada	#00B6EB
4.41495341569977	#FB61D7	0.657522200751243	0.337284624984556	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.599550556918601	0.372660812451786	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.634290118765877	0.496465877562371	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.115367913672189	0.799104112598178	Switzerland	#C49A00
3.39427400463467	#FB61D7	0.797674620578848	0.409061570497202	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.255954578022885	0.682869316744817	Chile	#53B400
3.39427400463467	#FB61D7	0.650140043858697	0.411027864329374	Cameroon	#FB61D7
17.1884166390049	#F8766D	0.268873352584841	0.663678380150876	China	#F8766D
4.54558441227157	#53B400	0.41434526782031	0.629304721313193	Colombia	#53B400
2.80498447189992	#53B400	0.357024990772304	0.73988499727307	Costa Rica	#53B400
3.60996894379985	#53B400	0.184955598497514	0.765503442097303	Cuba	#53B400
2	#FB61D7	0.665881407820744	0.540631862100401	Cape Verde	#FB61D7
2	#C49A00	0.204279479775061	0.786041977827092	Cyprus	#C49A00
3.60996894379985	#C49A00	0.206233580128971	0.728311454102412	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.103100505894869	0.753429014645469	Germany	#C49A00
2	#00C094	0.689439173198428	0.357820500479165	Djibouti	#00C094
3.13841995766062	#C49A00	0.134366111557418	0.78672641833574	Denmark	#C49A00
3.13841995766062	#53B400	0.462763532144951	0.597675285081253	Dominican Republic	#53B400
4.12978872191586	#00C094	0.728195496884295	0.535055249094352	Algeria	#00C094
3.39427400463467	#53B400	0.532351216970276	0.589116168403985	Ecuador	#53B400
2.80498447189992	#C49A00	0.174750852204877	0.70650170598982	Estonia	#C49A00
5.2199378875997	#00C094	0.546572725101505	0.483872324216695	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.659476301105152	0.316515408861235	Eritrea	#FB61D7
